BLOCK,FIPS,date,mean_2m_air_temperature,maximum_2m_air_temperature,minimum_2m_air_temperature,temperature_2m,temperature_2m_max,temperature_2m_min
1231,020700001001231,104.0,,,,272.3836758931478,277.7995407104492,267.6378479003906
1266,020700001001266,104.0,,,,272.9491625467936,277.17240753173826,269.4998306274414
1145,020700001001145,104.0,,,,271.1557842865329,275.4920078482279,267.32161783696273
1272,020700001001272,104.0,,,,271.2378100077311,275.3023986816406,267.7241180419922
1014,020700002001014,104.0,,,,272.09262868795525,277.00223915651486,267.79448070790085
1177,020700001001177,104.0,,,,272.9491625467936,277.17240753173826,269.4998306274414
1008,020700002001008,104.0,,,,271.780450197396,276.41629316950423,267.6507629946054
1135,020700001001135,104.0,,,,271.0980073735164,275.39794178185105,267.29955780498807
1132,020700001001132,104.0,,,,271.0989590962728,275.40162353515626,267.2989135742188
1244,020700001001244,104.0,,,,271.0424730936686,275.03470306396486,267.65845642089846
1007,020700002001007,104.0,,,,271.67972895304365,276.3384048461914,267.5492172241211
1037,020700002001037,104.0,,,,271.67972895304365,276.3384048461914,267.5492172241211
1069,020700001001069,104.0,,,,271.5096889783368,275.82185113892257,267.69030889367946
1006,020700002001006,104.0,,,,271.926339005711,276.5332582771592,267.8061512455491
1118,020700001001118,104.0,,,,272.20916798975776,277.42056352567766,267.5686429465621
1229,020700001001229,104.0,,,,272.3836758931478,277.7995407104492,267.6378479003906
1247,020700001001247,104.0,,,,271.0424730936686,275.03470306396486,267.65845642089846
1222,020700001001222,104.0,,,,272.5054695129395,277.9547836303711,267.71095809936526
1130,020700001001130,104.0,,,,272.74161860148115,278.2288543701172,267.9423889160156
1009,020700001001009,104.0,,,,271.0683822208118,275.28333644835965,267.31961137078423
1133,020700001001133,104.0,,,,271.0989590962728,275.40162353515626,267.2989135742188
1016,020700002001016,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1025,020700002001025,104.0,,,,271.8282088746416,276.6654794246592,267.5942274053046
1271,020700001001271,104.0,,,,272.1642260233561,277.33582305908203,267.5366668701172
1230,020700001001230,104.0,,,,272.3836758931478,277.7995407104492,267.6378479003906
1174,020700001001174,104.0,,,,272.9491625467936,277.17240753173826,269.4998306274414
1250,020700001001250,104.0,,,,271.0424730936686,275.03470306396486,267.65845642089846
1255,020700001001255,104.0,,,,272.1642260233561,277.33582305908203,267.5366668701172
1179,020700001001179,104.0,,,,272.9491625467936,277.17240753173826,269.4998306274414
1017,020700002001017,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1002,020700002001002,104.0,,,,271.5599688886671,276.02452143044036,267.5840114999793
1243,020700001001243,104.0,,,,271.0424730936686,275.03470306396486,267.65845642089846
1027,020700002001027,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1122,020700001001122,104.0,,,,272.42219022099715,277.8531927899344,267.651312160769
1020,020700002001020,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1028,020700002001028,104.0,,,,272.26794509887696,276.82800445556643,268.2117752075195
1197,020700001001197,104.0,,,,271.50757421589583,275.8158031481919,267.68823486986776
1225,020700001001225,104.0,,,,272.3836758931478,277.7995407104492,267.6378479003906
